blog_id,domain,sample_url,page_status,html_bytes,g_default,gtag_ids,adsbygoogle_loader,pub_ids,meta_author,schema_author_blank,canonical,canonical_matches,meta_robots,noindex,affiliate_disclosure,related_zero_links,alt_photo_count,img_count,ad_top,ins_adsbygoogle,sitemap_status,robots_status,sitemap_urls,sitemap_posts,earliest_lastmod,latest_lastmod,longest_gap_days,last30d_count,days_since_latest,robots_disallow_rules,sitemap_robots_overlap,corpus_table0,corpus_no_airlines,corpus_verified,corpus_currency_no_symbol,corpus_cjk,corpus_hard_ads,corpus_ins,corpus_word400,corpus_h2lt3,corpus_latex,corpus_frontmatter_missing,corpus_total_posts
adventure-hugo,adventure.techpawz.com,https://adventure.techpawz.com/posts/luang-prabang-adventure/,200,47583,no,G-N4Q99745QT,2,ca-pub-8772455780561463,MISSING,2,MISSING,no,MISSING,no,1,0,0,7,YES,4,200,200,156,154,2026-04-03,2026-08-21,98,23,0,9,0,115,154,0,1,0,69,69,4,17,143,0,154
airlines-hugo,airlines.techpawz.com,https://airlines.techpawz.com/posts/tap-portugal-airline-review/,200,29739,YES,G-N4Q99745QT,2,ca-pub-8772455780561463,MISSING,2,MISSING,no,MISSING,no,0,0,0,3,YES,3,200,200,116,114,2026-03-31,2026-08-17,99,8,4,9,0,108,90,0,2,3,13,13,1,5,26,0,115
airports-hugo,airports.techpawz.com,https://airports.techpawz.com/posts/beijing-capital-international-airport-pek-guide/,200,24893,no,G-N4Q99745QT,2,ca-pub-8772455780561463,MISSING,1,MISSING,no,MISSING,no,0,0,0,0,YES,2,200,200,165,163,2026-04-01,2026-08-21,99,30,0,9,0,138,91,0,0,1,34,34,15,8,15,0,163
bus-hugo,bus.techpawz.com,https://bus.techpawz.com/posts/manchester-airport-to-birmingham-bus/,200,29811,no,G-N4Q99745QT,2,ca-pub-8772455780561463,MISSING,2,MISSING,no,MISSING,no,1,0,0,1,YES,4,200,200,164,162,2026-04-04,2026-08-21,98,22,0,9,0,84,148,0,2,0,73,73,0,20,38,0,162
cruise-hugo,cruise.techpawz.com,https://cruise.techpawz.com/posts/sydney_one-day-itinerary/,200,38346,no,G-65W5YFCGYF,2,ca-pub-8772455780561463,MISSING,2,MISSING,no,MISSING,no,0,0,0,10,YES,4,200,200,112,110,2026-04-05,2026-08-21,96,30,0,9,0,62,110,0,30,1,54,54,3,6,19,0,110
culture-hugo,culture.techpawz.com,https://culture.techpawz.com/posts/hokkaido-culture/,200,37484,no,G-3TQR78109F,2,ca-pub-8772455780561463,MISSING,2,MISSING,no,MISSING,no,1,0,0,2,YES,4,200,200,169,167,2026-04-04,2026-08-21,95,34,0,9,0,161,167,0,65,0,68,68,4,32,124,0,167
daytrips-hugo,daytrips.techpawz.com,https://daytrips.techpawz.com/posts/oaxaca-day-trips/,200,38482,no,G-YHYXXLJ6KX,2,ca-pub-8772455780561463,MISSING,2,MISSING,no,MISSING,no,1,0,0,10,YES,4,200,200,184,182,2026-04-02,2026-08-21,98,41,0,9,0,107,182,0,40,5,83,83,5,9,47,0,182
deals-hugo,deals.techpawz.com,/posts/cheapest-flights-los-angeles-to-hou/,0,0,,,,,,,,,,,,,,,,,200,200,107,105,2026-04-05,2026-05-06,3,0,107,9,0,105,37,0,0,0,40,40,0,0,104,0,105
dining-hugo,dining.techpawz.com,https://dining.techpawz.com/posts/lisboa-dining/,200,39144,no,G-LGDLCT7EF6,2,ca-pub-8772455780561463,MISSING,2,MISSING,no,MISSING,no,0,0,0,8,YES,4,200,200,122,120,2026-04-04,2026-08-21,99,7,0,9,0,120,120,0,2,3,35,35,0,0,41,0,120
esim-hugo,esim.techpawz.com,https://esim.techpawz.com/posts/esim-saba/,200,32881,no,G-N4Q99745QT,2,ca-pub-8772455780561463,MISSING,2,MISSING,no,MISSING,no,1,0,0,4,YES,4,200,200,267,265,2026-03-31,2026-08-21,98,43,0,9,0,263,264,0,4,1,72,72,4,9,123,0,265
eurail-hugo,eurail.techpawz.com,/posts/w%C3%BCrzburg-to-munich-train/,0,0,,,,,,,,,,,,,,,,,200,200,173,171,2026-04-05,2026-08-21,95,36,0,9,0,85,164,0,8,0,70,70,7,33,127,0,170
ferry-hugo,ferry.techpawz.com,https://ferry.techpawz.com/posts/ladochori-to-corfu-ferry/,200,29022,no,G-MKJ5PYNCT5,2,ca-pub-8772455780561463,MISSING,2,MISSING,no,MISSING,no,1,0,0,1,YES,4,200,200,161,159,2026-04-04,2026-08-21,98,19,0,9,0,85,156,0,3,0,71,71,0,17,23,0,159
flights-hugo,flights.techpawz.com,https://flights.techpawz.com/posts/cheapest-flights-sea-to-lax/,200,30932,no,G-N4Q99745QT,2,ca-pub-8772455780561463,MISSING,2,MISSING,no,MISSING,no,0,0,0,1,YES,4,200,200,274,272,2026-04-01,2026-08-21,108,43,0,9,0,272,90,0,18,4,53,53,0,16,150,0,272
foodtour-hugo,foodtour.techpawz.com,https://foodtour.techpawz.com/posts/edinburgh-food-tours/,200,37140,no,G-XY1EPFZ32T,2,ca-pub-8772455780561463,MISSING,2,MISSING,no,MISSING,no,1,0,0,3,YES,5,200,200,145,143,2026-04-03,2026-08-21,98,16,0,9,0,136,143,0,0,4,70,70,2,11,104,0,143
michelin-hugo,michelin.techpawz.com,https://michelin.techpawz.com/posts/michelin-restaurants-bath/,200,35075,no,G-N4Q99745QT,1,ca-pub-8772455780561463,MISSING,1,MISSING,no,MISSING,no,0,0,0,6,YES,3,200,200,275,273,2026-04-01,2026-08-21,95,40,0,9,0,273,273,0,6,3,0,0,5,8,65,0,273
multiday-hugo,multiday.techpawz.com,https://multiday.techpawz.com/posts/fethiye-multiday/,200,39630,no,G-BKLYM5WN6R,2,ca-pub-8772455780561463,MISSING,2,MISSING,no,MISSING,no,1,0,0,2,YES,4,200,200,165,163,2026-04-04,2026-08-21,95,28,0,9,0,157,163,0,91,1,71,71,5,26,106,0,163
nature-hugo,nature.techpawz.com,https://nature.techpawz.com/posts/canterbury-region-nature-tours/,200,30869,YES,G-N4Q99745QT,2,ca-pub-8772455780561463,MISSING,2,MISSING,no,MISSING,no,0,0,0,6,YES,3,200,200,112,110,2026-04-05,2026-08-21,95,30,0,9,0,92,110,0,16,1,66,66,5,8,21,0,110
phototour-hugo,phototour.techpawz.com,https://phototour.techpawz.com/posts/park-county-photo-tours/,200,31333,no,G-N4Q99745QT,2,ca-pub-8772455780561463,MISSING,2,MISSING,no,MISSING,no,1,0,0,6,YES,3,200,200,113,111,2026-04-05,2026-08-21,96,29,0,9,0,105,111,0,23,1,64,64,5,6,9,0,111
tour-hugo,tour.techpawz.com,https://tour.techpawz.com/posts/skagway-travel-guide/,200,40543,no,G-N4Q99745QT,2,ca-pub-8772455780561463,MISSING,1,MISSING,no,MISSING,no,0,0,0,3,YES,4,200,200,258,254,2026-03-31,2026-08-21,96,41,0,9,0,254,253,0,4,4,125,125,0,0,184,0,254
tours-hugo,tours.techpawz.com,https://tours.techpawz.com/posts/best-tours-bari/,200,35114,no,G-N4Q99745QT,2,ca-pub-8772455780561463,MISSING,2,MISSING,no,MISSING,no,1,0,0,6,YES,4,200,200,206,204,2026-04-01,2026-08-21,98,36,0,9,0,204,204,0,28,0,83,83,82,113,98,0,204
trains-hugo,trains.techpawz.com,https://trains.techpawz.com/posts/cologne-to-paris/,200,29614,no,G-N4Q99745QT,2,ca-pub-8772455780561463,MISSING,2,MISSING,no,MISSING,no,1,0,0,1,YES,4,200,200,147,145,2026-04-01,2026-08-21,95,33,0,9,0,55,125,0,2,0,82,82,4,31,100,0,145
transfers-hugo,transfers.techpawz.com,https://transfers.techpawz.com/posts/fira-transfers/,200,42452,no,G-1BT8DWNXVR,2,ca-pub-8772455780561463,MISSING,2,MISSING,no,MISSING,no,1,0,0,6,YES,4,200,200,164,162,2026-04-04,2026-08-21,95,29,0,9,0,120,158,0,82,1,73,73,5,27,90,0,162
visa-hugo,visa.techpawz.com,https://visa.techpawz.com/posts/visa-policy-sierra-leone/,200,34789,no,G-N4Q99745QT,2,ca-pub-8772455780561463,MISSING,2,MISSING,no,MISSING,no,1,0,0,6,YES,4,200,200,254,252,2026-04-01,2026-08-21,95,43,0,9,0,252,249,0,0,0,80,80,6,13,15,0,252
visafree-hugo,visafree.techpawz.com,https://visafree.techpawz.com/posts/sri-lanka-visa-free/,200,41518,no,G-N4Q99745QT,2,ca-pub-8772455780561463,MISSING,2,MISSING,no,MISSING,no,1,0,0,8,YES,4,200,200,171,169,2026-04-05,2026-08-21,95,36,0,9,0,169,164,0,0,0,67,67,5,7,0,0,169
walking-hugo,walking.techpawz.com,https://walking.techpawz.com/posts/marmaris-walking/,200,34738,no,G-ZKDVHDKPWL,2,ca-pub-8772455780561463,MISSING,2,MISSING,no,MISSING,no,1,0,0,5,YES,4,200,200,150,148,2026-04-03,2026-08-21,98,19,0,9,0,138,148,0,4,2,67,67,1,17,133,0,148
watersports-hugo,watersports.techpawz.com,https://watersports.techpawz.com/posts/queensland-watersports/,200,40900,no,G-PK52YHF7Q6,2,ca-pub-8772455780561463,MISSING,2,MISSING,no,MISSING,no,1,0,0,5,YES,4,200,200,161,159,2026-04-03,2026-08-21,95,23,0,9,0,138,159,0,0,0,78,78,4,21,147,0,159
luxury-hugo,luxury.techpawz.com,https://luxury.techpawz.com/posts/london-luxury-tours/,200,35811,YES,G-N4Q99745QT,2,ca-pub-8772455780561463,MISSING,2,MISSING,no,MISSING,no,0,0,0,5,YES,4,200,200,114,112,2026-04-17,2026-08-17,96,25,3,9,0,65,112,0,41,3,78,78,7,23,98,0,112
citytours-hugo,citytours.techpawz.com,https://citytours.techpawz.com/posts/jaipur-city-tours/,200,35881,YES,G-N4Q99745QT,2,ca-pub-8772455780561463,MISSING,2,MISSING,no,MISSING,no,0,0,0,7,YES,4,200,200,122,120,2026-04-17,2026-08-20,96,36,0,9,0,43,120,0,34,1,81,81,5,24,98,0,120
watertours-hugo,watertours.techpawz.com,https://watertours.techpawz.com/posts/jolly-harbour-water-tours/,200,33885,YES,G-N4Q99745QT,2,ca-pub-8772455780561463,MISSING,2,MISSING,no,MISSING,no,0,0,0,5,YES,5,200,200,106,104,2026-04-17,2026-08-17,96,24,3,9,0,70,104,0,37,0,73,73,5,22,84,0,104
hiking-hugo,hiking.techpawz.com,https://hiking.techpawz.com/posts/calvados-mountain-bike-tours/,200,32113,YES,G-N4Q99745QT,2,ca-pub-8772455780561463,MISSING,2,MISSING,no,MISSING,no,0,0,0,4,YES,4,200,200,84,82,2026-04-17,2026-08-16,96,24,4,9,0,60,81,0,33,0,49,49,7,22,62,0,82
escape-hugo,escape.techpawz.com,/posts/singapore-team-escape-rooms/,0,0,,,,,,,,,,,,,,,,,200,200,85,83,2026-04-17,2026-08-10,96,4,11,9,0,98,102,0,43,0,71,71,6,21,64,0,102
extreme-hugo,extreme.techpawz.com,https://extreme.techpawz.com/posts/cap-cana-outdoor-activities/,200,34724,no,G-N4Q99745QT,2,ca-pub-8772455780561463,MISSING,2,MISSING,no,MISSING,no,1,0,0,5,YES,4,200,200,109,107,2026-04-17,2026-08-21,96,27,0,9,0,77,107,0,31,0,74,74,5,25,90,0,107
nightlife-hugo,nightlife.techpawz.com,https://nightlife.techpawz.com/posts/vr-evening-entertainment/,200,36709,no,G-N4Q99745QT,2,ca-pub-8772455780561463,MISSING,2,MISSING,no,MISSING,no,1,0,0,7,YES,5,200,200,109,107,2026-04-17,2026-08-21,96,25,0,9,0,88,107,0,45,3,75,75,5,23,53,0,107
ghost-hugo,ghost.techpawz.com,https://ghost.techpawz.com/posts/nice-dark-history-tours/,200,33657,no,G-N4Q99745QT,2,ca-pub-8772455780561463,MISSING,2,MISSING,no,MISSING,no,1,0,0,5,YES,5,200,200,96,94,2026-04-17,2026-08-21,98,19,0,9,0,81,94,0,13,0,64,64,3,17,73,0,94
layover-hugo,layover.techpawz.com,https://layover.techpawz.com/posts/malta-layover-tours/,200,29467,no,G-N4Q99745QT,2,ca-pub-8772455780561463,MISSING,2,MISSING,no,MISSING,no,1,0,0,3,YES,3,200,200,101,99,2026-04-17,2026-08-21,96,21,0,9,0,48,96,0,6,1,67,67,6,19,90,0,99
nomad-hugo,nomad.techpawz.com,/posts/montevideo-digital-nomad-guide/,0,0,,,,,,,,,,,,,,,,,200,200,41,39,2026-04-17,2026-05-02,3,0,111,9,0,39,39,0,10,4,30,30,0,0,25,0,39
