blog,table0,no_airlines,verified,currency_no_symbol,cjk,hard_ads,ins,word400,h2lt3,latex,frontmatter_missing,total_posts,sitemap_urls,lastmod_earliest,lastmod_latest,gap_days_max,last30d,noindex_fm,noindex_in_sitemap,noindex_meta_html,robots_disallow,days_since_latest,sitemap_minus_posts
adventure-hugo,115,154,0,1,0,69,69,4,17,143,0,154,156,2026-04-03,2026-08-21,98,23,0,0,0,0,0,2
airlines-hugo,108,90,0,2,3,13,13,1,5,26,0,115,117,2026-03-31,2026-08-20,99,9,0,0,0,0,1,2
airports-hugo,138,91,0,0,1,34,34,15,8,15,0,163,165,2026-04-01,2026-08-21,99,30,29,29,0,0,0,2
bus-hugo,84,148,0,2,0,73,73,0,20,38,0,162,164,2026-04-04,2026-08-21,98,22,0,0,0,0,0,2
citytours-hugo,43,120,0,34,1,81,81,5,24,98,0,120,122,2026-04-17,2026-08-20,96,36,0,0,0,0,1,2
cruise-hugo,62,110,0,30,1,54,54,3,6,19,0,110,113,2026-04-05,2026-08-21,96,31,0,0,0,0,0,3
culture-hugo,161,167,0,65,0,68,68,4,32,124,0,167,169,2026-04-04,2026-08-21,96,34,0,0,0,0,0,2
daytrips-hugo,107,182,0,40,5,83,83,5,9,47,0,182,184,2026-04-02,2026-08-21,98,41,0,0,0,0,0,2
deals-hugo,105,37,0,0,0,40,40,0,0,104,0,105,107,2026-04-05,2026-05-06,3,0,0,0,0,0,107,2
dining-hugo,120,120,0,2,3,35,35,0,0,41,0,120,122,2026-04-04,2026-08-21,100,7,0,0,0,0,0,2
escape-hugo,98,102,0,43,0,71,71,6,21,64,0,102,103,2026-04-17,2026-08-16,96,22,0,0,0,0,5,1
esim-hugo,263,264,0,4,1,72,72,4,9,123,0,265,267,2026-03-31,2026-08-21,98,43,0,0,0,0,0,2
eurail-hugo,85,164,0,8,0,70,70,7,33,127,0,170,173,2026-04-05,2026-08-21,96,36,0,0,0,0,0,3
extreme-hugo,77,107,0,31,0,74,74,5,25,90,0,107,109,2026-04-17,2026-08-21,96,27,0,0,0,0,0,2
ferry-hugo,85,156,0,3,0,71,71,0,17,23,0,159,161,2026-04-04,2026-08-21,98,19,0,0,0,0,0,2
flights-hugo,272,90,0,18,4,53,53,0,16,150,0,272,274,2026-04-01,2026-08-21,108,43,0,0,0,0,0,2
foodtour-hugo,136,143,0,0,4,70,70,2,11,104,0,143,145,2026-04-03,2026-08-21,98,16,0,0,0,0,0,2
ghost-hugo,81,94,0,13,0,64,64,3,17,73,0,94,96,2026-04-17,2026-08-21,98,19,0,0,0,0,0,2
hiking-hugo,60,81,0,33,0,49,49,7,22,62,0,82,84,2026-04-17,2026-08-16,96,24,0,0,0,0,5,2
layover-hugo,48,96,0,6,1,67,67,6,19,90,0,99,101,2026-04-17,2026-08-21,96,21,0,0,0,0,0,2
luxury-hugo,65,112,0,41,3,78,78,7,23,98,0,112,114,2026-04-17,2026-08-17,96,25,0,0,0,0,4,2
michelin-hugo,273,273,0,6,3,0,0,5,8,65,0,273,275,2026-04-01,2026-08-21,96,40,0,0,0,0,0,2
multiday-hugo,157,163,0,91,1,71,71,5,26,106,0,163,165,2026-04-04,2026-08-21,96,28,0,0,0,0,0,2
nature-hugo,92,110,0,16,1,66,66,5,8,21,0,110,112,2026-04-05,2026-08-21,96,30,0,0,0,0,0,2
nightlife-hugo,88,107,0,45,3,75,75,5,23,53,0,107,109,2026-04-17,2026-08-21,96,25,0,0,0,0,0,2
nomad-hugo,39,39,0,10,4,30,30,0,0,25,0,39,41,2026-04-17,2026-05-02,4,0,0,0,0,0,111,2
phototour-hugo,105,111,0,23,1,64,64,5,6,9,0,111,114,2026-04-05,2026-08-21,96,30,0,0,0,0,0,3
tour-hugo,254,253,0,4,4,125,125,0,0,184,0,254,258,2026-03-31,2026-08-21,96,41,0,0,0,0,0,4
tours-hugo,204,204,0,28,0,83,83,82,113,98,0,204,206,2026-04-01,2026-08-21,98,36,0,0,0,0,0,2
trains-hugo,55,125,0,2,0,82,82,4,31,100,0,145,147,2026-04-01,2026-08-21,96,33,0,0,0,0,0,2
transfers-hugo,120,158,0,82,1,73,73,5,27,90,0,162,164,2026-04-04,2026-08-21,96,29,0,0,0,0,0,2
visa-hugo,252,249,0,0,0,80,80,6,13,15,0,252,254,2026-04-01,2026-08-21,96,43,0,0,0,0,0,2
visafree-hugo,169,164,0,0,0,67,67,5,7,0,0,169,171,2026-04-05,2026-08-21,96,36,0,0,0,0,0,2
walking-hugo,138,148,0,4,2,67,67,1,17,133,0,148,150,2026-04-03,2026-08-21,98,19,0,0,0,0,0,2
watersports-hugo,138,159,0,0,0,78,78,4,21,147,0,159,161,2026-04-03,2026-08-21,96,23,0,0,0,0,0,2
watertours-hugo,70,104,0,37,0,73,73,5,22,84,0,104,106,2026-04-17,2026-08-17,96,24,0,0,0,0,4,2
TOTAL,4467,4995,0,724,47,2323,2323,221,656,2789,0,5403,5479,2026-03-31,2026-08-21,108,965,29,29,0,0,111,76
